Date & time of file creation	21/06/2018 10:37													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\21_06_2018\32_C_old_witrox_14.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [¡C]	HI temperature [¡C]	Salinity [ä]						
"S WOT 0041 000001   , CH 1"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 2"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 3"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 4"	1	59.37	26.72	0	100	32.1	31.95	0						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	"S WOT 0041 000001   , CH 1 phase [r.U.]"	"S WOT 0041 000001   , CH 1 temp [¡C]"	"S WOT 0041 000001   , CH 1 O2 [% air saturation]"	"S WOT 0041 000001   , CH 2 phase [r.U.]"	"S WOT 0041 000001   , CH 2 temp [¡C]"	"S WOT 0041 000001   , CH 2 O2 [% air saturation]"	"S WOT 0041 000001   , CH 3 phase [r.U.]"	"S WOT 0041 000001   , CH 3 temp [¡C]"	"S WOT 0041 000001   , CH 3 O2 [% air saturation]"	"S WOT 0041 000001   , CH 4 phase [r.U.]"	"S WOT 0041 000001   , CH 4 temp [¡C]"	"S WOT 0041 000001   , CH 4 O2 [% air saturation]"
21/06/2018 10:46	3612386802	1013	28.23	32.06	86.6	NaN	32.06	NaN	27.45	32.06	93.1	26.23	32.06	104.6
21/06/2018 10:46	3612386803	1013	28.25	32.06	86.4	NaN	32.06	NaN	27.43	32.06	93.3	26.24	32.06	104.5
21/06/2018 10:46	3612386804	1013	28.24	32.06	86.5	NaN	32.06	NaN	27.4	32.06	93.6	26.25	32.06	104.4
21/06/2018 10:46	3612386805	1013	28.25	32.06	86.4	NaN	32.06	NaN	27.43	32.06	93.3	26.23	32.06	104.6
21/06/2018 10:46	3612386806	1013	28.24	32.06	86.5	NaN	32.06	NaN	27.38	32.06	93.7	26.22	32.06	104.7
21/06/2018 10:46	3612386807	1013	28.25	32.06	86.4	NaN	32.06	NaN	27.44	32.06	93.2	26.23	32.06	104.6
21/06/2018 10:46	3612386808	1013	28.28	32.07	86.2	NaN	32.07	NaN	27.42	32.07	93.4	26.23	32.07	104.6
21/06/2018 10:46	3612386809	1013	28.29	32.06	86.1	NaN	32.06	NaN	27.41	32.06	93.5	26.25	32.06	104.4
21/06/2018 10:46	3612386810	1013	28.3	32.07	86	NaN	32.07	NaN	27.45	32.07	93.1	26.23	32.07	104.6
21/06/2018 10:46	3612386811	1013	28.31	32.08	85.9	NaN	32.08	NaN	27.41	32.08	93.5	26.23	32.08	104.6
21/06/2018 10:46	3612386812	1013	28.31	32.07	85.9	NaN	32.07	NaN	27.44	32.07	93.2	26.24	32.07	104.5
21/06/2018 10:46	3612386813	1013	28.32	32.08	85.8	NaN	32.08	NaN	27.47	32.08	92.9	26.26	32.08	104.3
21/06/2018 10:46	3612386814	1013	28.3	32.08	86	NaN	32.08	NaN	27.47	32.08	92.9	26.22	32.08	104.7
21/06/2018 10:46	3612386815	1013	28.31	32.08	85.9	NaN	32.08	NaN	27.45	32.08	93.1	26.25	32.08	104.4
21/06/2018 10:46	3612386816	1013	28.34	32.07	85.7	NaN	32.07	NaN	27.43	32.07	93.3	26.2	32.07	104.9
21/06/2018 10:46	3612386817	1013	28.34	32.07	85.7	NaN	32.07	NaN	27.45	32.07	93.1	26.26	32.07	104.3
21/06/2018 10:46	3612386818	1013	28.34	32.07	85.7	NaN	32.07	NaN	27.5	32.07	92.7	26.22	32.07	104.7
21/06/2018 10:46	3612386819	1013	28.35	32.08	85.6	NaN	32.08	NaN	27.44	32.08	93.2	26.23	32.08	104.6
21/06/2018 10:47	3612386820	1013	28.35	32.07	85.6	NaN	32.07	NaN	27.49	32.07	92.8	26.22	32.07	104.7
21/06/2018 10:47	3612386821	1013	28.35	32.07	85.6	NaN	32.07	NaN	27.51	32.07	92.6	26.22	32.07	104.7
21/06/2018 10:47	3612386822	1013	28.36	32.08	85.5	NaN	32.08	NaN	27.51	32.08	92.6	26.21	32.08	104.8
21/06/2018 10:47	3612386823	1013	28.4	32.08	85.2	NaN	32.08	NaN	27.48	32.08	92.8	26.24	32.08	104.5
21/06/2018 10:47	3612386824	1013	28.35	32.08	85.6	NaN	32.08	NaN	27.51	32.08	92.6	26.22	32.08	104.7
21/06/2018 10:47	3612386825	1013	28.38	32.08	85.4	NaN	32.08	NaN	27.52	32.08	92.5	26.21	32.08	104.8
21/06/2018 10:47	3612386826	1013	28.39	32.07	85.3	NaN	32.07	NaN	27.48	32.07	92.9	26.24	32.07	104.5
21/06/2018 10:47	3612386827	1013	28.37	32.07	85.5	NaN	32.07	NaN	27.49	32.07	92.8	26.24	32.07	104.5
21/06/2018 10:47	3612386828	1013	28.4	32.07	85.2	NaN	32.07	NaN	27.57	32.07	92.1	26.25	32.07	104.4
21/06/2018 10:47	3612386829	1013	28.39	32.06	85.3	NaN	32.06	NaN	27.55	32.06	92.3	26.23	32.06	104.6
21/06/2018 10:47	3612386830	1013	28.41	32.07	85.1	NaN	32.07	NaN	27.53	32.07	92.4	26.22	32.07	104.7
21/06/2018 10:47	3612386831	1013	28.42	32.06	85.1	NaN	32.06	NaN	27.52	32.06	92.5	26.22	32.06	104.7
21/06/2018 10:47	3612386832	1013	28.39	32.07	85.3	NaN	32.07	NaN	27.52	32.07	92.5	26.25	32.07	104.4
21/06/2018 10:47	3612386833	1013	28.4	32.06	85.2	NaN	32.06	NaN	27.55	32.06	92.3	26.23	32.06	104.6
21/06/2018 10:47	3612386834	1013	28.43	32.06	85	NaN	32.06	NaN	27.56	32.06	92.2	26.24	32.06	104.5
21/06/2018 10:47	3612386835	1013	28.41	32.07	85.1	NaN	32.07	NaN	27.54	32.07	92.3	26.22	32.07	104.7
21/06/2018 10:47	3612386836	1013	28.39	32.07	85.3	NaN	32.07	NaN	27.51	32.07	92.6	26.24	32.07	104.5
21/06/2018 10:47	3612386837	1013	28.4	32.06	85.2	NaN	32.06	NaN	27.56	32.06	92.2	26.26	32.06	104.3
21/06/2018 10:47	3612386838	1013	28.45	32.07	84.8	NaN	32.07	NaN	27.53	32.07	92.4	26.24	32.07	104.5
21/06/2018 10:47	3612386839	1013	28.39	32.07	85.3	NaN	32.07	NaN	27.57	32.07	92.1	26.24	32.07	104.5
21/06/2018 10:47	3612386840	1013	28.43	32.06	85	NaN	32.06	NaN	27.58	32.06	92	26.23	32.06	104.6
21/06/2018 10:47	3612386841	1013	28.42	32.07	85.1	NaN	32.07	NaN	27.56	32.07	92.2	26.26	32.07	104.3
21/06/2018 10:47	3612386842	1013	28.42	32.07	85.1	NaN	32.07	NaN	27.59	32.07	91.9	26.24	32.07	104.5
21/06/2018 10:47	3612386843	1013	28.42	32.07	85.1	NaN	32.07	NaN	27.54	32.07	92.3	26.22	32.07	104.7
21/06/2018 10:47	3612386844	1013	28.41	32.07	85.1	NaN	32.07	NaN	27.54	32.07	92.3	26.24	32.07	104.5
21/06/2018 10:47	3612386845	1013	28.43	32.08	85	NaN	32.08	NaN	27.56	32.08	92.1	26.26	32.08	104.3
21/06/2018 10:47	3612386846	1013	28.41	32.07	85.1	NaN	32.07	NaN	27.59	32.07	91.9	26.24	32.07	104.5
21/06/2018 10:47	3612386847	1013	28.43	32.07	85	NaN	32.07	NaN	27.58	32.07	92	26.22	32.07	104.7
21/06/2018 10:47	3612386848	1013	28.42	32.08	85.1	NaN	32.08	NaN	27.6	32.08	91.8	26.24	32.08	104.5
21/06/2018 10:47	3612386849	1013	28.43	32.08	85	NaN	32.08	NaN	27.56	32.08	92.1	26.24	32.08	104.5
21/06/2018 10:47	3612386850	1013	28.45	32.07	84.8	NaN	32.07	NaN	27.61	32.07	91.7	26.24	32.07	104.5
21/06/2018 10:47	3612386851	1013	28.48	32.08	84.6	NaN	32.08	NaN	27.58	32.08	92	26.24	32.08	104.5
21/06/2018 10:47	3612386852	1013	28.47	32.08	84.7	NaN	32.08	NaN	27.61	32.08	91.7	26.24	32.08	104.5
21/06/2018 10:47	3612386853	1013	28.48	32.08	84.6	NaN	32.08	NaN	27.58	32.08	92	26.22	32.08	104.7
21/06/2018 10:47	3612386854	1013	28.47	32.08	84.7	NaN	32.08	NaN	27.58	32.08	92	26.22	32.08	104.7
21/06/2018 10:47	3612386855	1013	28.49	32.07	84.5	NaN	32.07	NaN	27.61	32.07	91.7	26.26	32.07	104.3
21/06/2018 10:47	3612386856	1013	28.49	32.06	84.5	NaN	32.06	NaN	27.61	32.06	91.7	26.23	32.06	104.6
21/06/2018 10:47	3612386857	1013	28.48	32.06	84.6	NaN	32.06	NaN	27.62	32.06	91.7	26.24	32.06	104.5
21/06/2018 10:47	3612386858	1013	28.47	32.07	84.7	NaN	32.07	NaN	27.58	32.07	92	26.26	32.07	104.3
21/06/2018 10:47	3612386859	1013	28.51	32.07	84.4	NaN	32.07	NaN	27.62	32.07	91.6	26.26	32.07	104.3
21/06/2018 10:47	3612386860	1013	28.5	32.08	84.4	NaN	32.08	NaN	27.61	32.08	91.7	26.29	32.08	104
21/06/2018 10:47	3612386861	1013	28.52	32.08	84.3	NaN	32.08	NaN	27.63	32.08	91.5	26.27	32.08	104.2
21/06/2018 10:47	3612386862	1013	28.54	32.08	84.1	NaN	32.08	NaN	27.62	32.08	91.6	26.23	32.08	104.6
21/06/2018 10:47	3612386863	1013	28.52	32.08	84.3	NaN	32.08	NaN	27.61	32.08	91.7	26.25	32.08	104.4
21/06/2018 10:47	3612386864	1013	28.54	32.07	84.1	NaN	32.07	NaN	27.61	32.07	91.7	26.23	32.07	104.6
21/06/2018 10:47	3612386865	1013	28.54	32.07	84.1	NaN	32.07	NaN	27.59	32.07	91.9	26.23	32.07	104.6
21/06/2018 10:47	3612386866	1013	28.54	32.07	84.1	NaN	32.07	NaN	27.62	32.07	91.6	26.25	32.07	104.4
21/06/2018 10:47	3612386867	1013	28.58	32.07	83.8	NaN	32.07	NaN	27.64	32.07	91.5	26.26	32.07	104.3
21/06/2018 10:47	3612386868	1013	28.55	32.07	84.1	NaN	32.07	NaN	27.57	32.07	92.1	26.24	32.07	104.5
21/06/2018 10:47	3612386869	1013	28.55	32.08	84	NaN	32.08	NaN	27.66	32.08	91.3	26.24	32.08	104.5
21/06/2018 10:47	3612386870	1013	28.55	32.07	84.1	NaN	32.07	NaN	27.62	32.07	91.6	26.21	32.07	104.8
21/06/2018 10:47	3612386871	1013	28.6	32.08	83.7	NaN	32.08	NaN	27.61	32.08	91.7	26.23	32.08	104.6
21/06/2018 10:47	3612386872	1013	28.59	32.08	83.7	NaN	32.08	NaN	27.6	32.08	91.8	26.24	32.08	104.5
21/06/2018 10:47	3612386873	1013	28.57	32.07	83.9	NaN	32.07	NaN	27.62	32.07	91.6	26.24	32.07	104.5
21/06/2018 10:47	3612386874	1013	28.59	32.08	83.7	NaN	32.08	NaN	27.63	32.08	91.5	26.23	32.08	104.6
21/06/2018 10:47	3612386875	1013	28.59	32.07	83.7	NaN	32.07	NaN	27.6	32.07	91.8	26.22	32.07	104.7
